Quantum,N,AWT,ART,ATT,#CS
0.05,50,173.24354,10.41334,179.30354,930
0.1,50,165.21604,17.46172,171.27604,439
0.15,50,147.30036,26.32229,153.36036,257
0.2,50,144.52188,31.10972,150.58188,198
0.25,50,135.2739,40.4384,141.3339,157
0.3,50,126.38004,47.6741,132.44004,124
0.35,50,127.29939,50.63645,133.35939,115
0.4,50,117.69048,58.606,123.75048,97
0.45,50,111.38442,65.04637,117.44442,82
0.5,50,111.7794,66.7693,117.8394,79
0.55,50,110.87367,69.92421,116.93367,75
0.6,50,101.7006,81.3606,107.7606,64
0.65,50,102.41565,82.07565,108.47565,64
0.7,50,97.4103,87.8703,103.4703,59
0.75,50,95.26515,90.52515,101.32515,56
0.8,50,95.40816,90.66816,101.46816,56
0.85,50,93.81462,92.37462,99.87462,53
0.9,50,93.12,93.12,99.18,49
0.95,50,93.12,93.12,99.18,49
0.05,100,406.848385,24.429265,413.738385,1749
0.1,100,385.65764,39.6206,392.54764,839
0.15,100,368.639135,53.12526,375.529135,554
0.2,100,339.645,76.197,346.535,397
0.25,100,333.58305,87.6481,340.47305,321
0.3,100,308.68734,110.96942,315.57734,260
0.35,100,285.92013,133.61564,292.81013,215
0.4,100,267.1932,156.0836,274.0832,186
0.45,100,265.85805,160.08905,272.74805,170
0.5,100,254.8092,172.076,261.6992,156
0.55,100,245.15742,183.29177,252.04742,143
0.6,100,240.9546,189.6446,247.8446,130
0.65,100,234.453,199.643,241.343,124
0.7,100,235.614,200.804,242.504,124
0.75,100,227.2548,210.4848,234.1448,116
0.8,100,222.1464,216.2964,229.0364,109
0.85,100,219.36,219.36,226.25,99
0.9,100,219.36,219.36,226.25,99
0.95,100,219.36,219.36,226.25,99
0.05,150,437.7604,34.00963667,442.8870667,2471
0.1,150,415.0515333,49.53288,420.1782,1178
0.15,150,399.7226933,63.29467333,404.84936,769
0.2,150,380.23296,77.97376,385.3596267,565
0.25,150,349.7869333,100.6036167,354.9136,428
0.3,150,342.74496,110.997,347.8716267,360
0.35,150,314.2251633,138.4998167,319.35183,307
0.4,150,310.8748533,146.0169333,316.00152,272
0.45,150,291.94118,168.7576133,297.0678467,242
0.5,150,267.0514,199.4647333,272.1780667,201
0.55,150,269.77854,202.1918733,274.9052067,201
0.6,150,256.21688,219.4302133,261.3435467,186
0.65,150,244.8599667,233.4599667,249.9866333,169
0.7,150,245.2507333,233.8507333,250.3774,169
0.75,150,239.78,239.78,244.9066667,149
0.8,150,239.78,239.78,244.9066667,149
0.85,150,239.78,239.78,244.9066667,149
0.9,150,239.78,239.78,244.9066667,149
0.95,150,239.78,239.78,244.9066667,149
0.05,200,601.2237,46.5547775,606.5387,3292
0.1,200,570.130415,66.76727,575.445415,1567
0.15,200,559.068485,86.215715,564.383485,1060
0.2,200,519.41129,104.45208,524.72629,752
0.25,200,489.53365,138.3295125,494.84865,596
0.3,200,474.127805,153.383415,479.442805,501
0.35,200,438.048125,194.0918625,443.363125,424
0.4,200,400.0033,235.7937,405.3183,345
0.45,200,397.9410125,242.1716625,403.2560125,329
0.5,200,370.2554,270.928875,375.5704,287
0.55,200,356.33695,290.07195,361.65195,255
0.6,200,358.7894,292.5244,364.1044,255
0.65,200,345.50795,309.64295,350.82295,239
0.7,200,346.7501,310.8851,352.0651,239
0.75,200,333.0147875,325.3647875,338.3297875,217
0.8,200,329.36,329.36,334.675,199
0.85,200,329.36,329.36,334.675,199
0.9,200,329.36,329.36,334.675,199
0.95,200,329.36,329.36,334.675,199
